,name,dob,owner
0,Tito Polo,1994-08-23,SF
1,Cesar Hernandez,,SF
2,Tommy Doyle,,SF
3,Austin Rei,1993-10-27,SF
4,Sammy Solis,1988-08-10,SF
5,Alex Claudio,1992-01-31,SF
6,Jack Flaherty,,SF
7,Max Stassi,1991-03-15,SF
8,Ian McKinney,1994-11-18,SF
9,Jared Walker,,SF
10,Ji Man-Choi,1991-05-19,SF
11,Yacksel Rios,1993-06-27,SF
12,Jackie Bradley Jr.,1990-04-19,SF
13,Yoan Moncada,1995-05-27,SF
14,Nestor Cortes,1994-12-10,SF
15,Rafael Bautista,,SF
16,Alex Blandino,1992-11-06,SF
17,Junior Guerra,1985-01-16,SF
18,Jonny Venters,1985-03-20,SF
19,Ryne Harper,1989-03-27,SF
20,Kevin McCarthy,,SF
21,Jordan Sheffield,1995-06-01,SF
22,Keegan Akin,1995-04-01,SF
23,Mike Montgomery,,SF
24,JT Realmuto,1991-03-18,SF
25,Tyler C. Moore,1993-08-08,SF
26,Kyle Cody,1994-08-09,SF
27,AJ Puckett,1995-05-27,SF
28,John Barbato,1992-07-11,SF
29,Mitchell White,1994-12-28,SF
30,Taylor Cole,1989-08-20,SF
31,Daniel Winkler,1990-02-02,SF
32,Gabriel Mejia,1995-07-30,SF
33,Jack Lemoine,,SF
34,Tyler Krieger,1994-01-16,SF
35,Ryan Kellogg,,SF
36,Matt Withrow,1993-09-23,SF
37,Tyler Webb,1990-07-20,SF
38,Drew Smith,1993-09-24,SF
39,Javon Shelby,1995-05-06,SF
40,Mark Ecker,1995-05-27,SF
41,Adam Liberatore,1987-05-12,SF
42,Javy Guerra RP,,SF
43,Dylan Busby,1995-11-28,SF
44,Josh Fleming,,SF
45,Robel Garcia,1993-03-28,SF
46,Harold Castro,1993-11-30,SF
47,Kean Wong,1995-04-17,SF
48,Zach Watson,,SF
49,Lorenzo Cain,1986-04-13,SF
50,Glenallen Hill Jr.,,SF
51,Josh Fuentes,1993-02-19,SF
52,Jharel Cotton,1992-01-19,SF
53,Mike Siani,,SF
54,Jackson Miller,,SF
